[2025-11-22 01:52:34] Experimento #60: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.5, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.3877551020408163}
[2025-11-22 01:53:42] Experimento #61: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.5, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.4056968499159168}
[2025-11-22 01:54:54] Experimento #62: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.5, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.430137848539096}
[2025-11-22 01:56:02] Experimento #63: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.5, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.7294216596872625}
[2025-11-22 01:57:10] Experimento #64: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.5, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.6622888839862064}
[2025-11-22 01:58:34] Experimento #65: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.7037054090453881}
[2025-11-22 01:59:37] Experimento #66: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.703750715220551}
[2025-11-22 02:01:55] Experimento #67: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.7092539831109923}
[2025-11-22 02:05:08] Experimento #68: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.7138316354734264}
[2025-11-22 02:06:43] Experimento #69: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.7343253968253969}
[2025-11-22 02:07:46] Experimento #70: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.7373386222162797}
[2025-11-22 02:09:03] Experimento #71: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.7068680745979057}
[2025-11-22 02:10:14] Experimento #72: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.7255050148122294}
[2025-11-22 02:11:18] Experimento #73: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8049965177949606}
[2025-11-22 02:12:57] Experimento #74: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.8069140839655121}
[2025-11-22 02:13:59] Experimento #75: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.8000258097819073}
[2025-11-22 02:14:57] Experimento #76: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.7958429715789217}
[2025-11-22 02:17:04] Experimento #77: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.8067800898108912}
[2025-11-22 02:18:04] Experimento #78: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.8066294918357626}
[2025-11-22 02:19:26] Experimento #79: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.8086993027622867}
[2025-11-22 02:20:20] Experimento #80: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.8076096378409996}
