Nombre,Neuronas_ocultas,Init_func,Pesado_terminos,Terminos,Prepocesamiento,Learnin_rate,Batch_size,Precision_score,Recall_score,F1_score,Accuracy
hateval_es,128,normal_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.1,32,0.6982645578022049,0.6984412470023981,0.6983500354286871,0.702
hateval_es,256,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.1,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,1024,normal_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.01,32,0.6242433414043584,0.5266057424330806,0.4346666666666667,0.576
hateval_es,256,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.01,16,0.7543057763646,0.7488171624862272,0.7505357347336048,0.756
hateval_es,64,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.5,64,0.7205615942028986,0.7209475662713073,0.7207427433585339,0.724
hateval_es,128,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.1,32,0.6883599250694399,0.6889947501458293,0.6886322463768115,0.692
hateval_es,64,normal_initialization,vectorizar_countvectorizer,"(1, 1)",None,0.1,32,0.6981453164307206,0.6952654092941862,0.6962147129942627,0.702
hateval_es,1024,normal_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.5,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,1024,normal_initialization,vectorizar_tfidfvectorizer,"(1, 2)",None,0.01,32,0.6599992097828878,0.6312301510143237,0.6259152103307948,0.654
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.01,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,256,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.01,64,0.6758333333333333,0.6709443256205846,0.6720182357860902,0.68
hateval_es,1024,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.5,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,128,normal_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.5,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(1, 2)",None,0.1,16,0.6404712691194708,0.6376466394452006,0.6382897850583027,0.646
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.01,16,0.666561502131972,0.6411465422256789,0.637896974189982,0.662
hateval_es,128,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.1,16,0.7438882112743278,0.7235562901030528,0.725912752379956,0.738
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.1,32,0.7418692667906857,0.744377470996176,0.7423510466988728,0.744
hateval_es,256,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,normal_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.01,16,0.6677890142894014,0.6158694665888911,0.6003414032758457,0.646
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.01,64,0.782520325203252,0.5180180180180181,0.39582156973461324,0.572
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.1,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,1024,normal_initialization,vectorizar_countvectorizer,"(1, 2)",None,0.1,64,0.6881462300623977,0.6695346425562253,0.6697226090651678,0.686
hateval_es,512,normal_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,64,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.01,64,0.7752888412226393,0.7744993194633483,0.7748652233702068,0.778
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.5,16,0.222,0.5,0.3074792243767313,0.444
hateval_es,1024,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.5,64,0.222,0.5,0.3074792243767313,0.444
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",None,0.5,32,0.222,0.5,0.3074792243767313,0.444
hateval_es,128,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.01,64,0.752898185483871,0.6951195800116663,0.6923076923076923,0.72
hateval_es,512,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.5,32,0.222,0.5,0.3074792243767313,0.444
hateval_es,512,xavier_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.01,32,0.7671812307642727,0.7686661481625511,0.7677696598128425,0.77
hateval_es,128,normal_initialization,vectorizar_tfidfvectorizer,"(1, 2)",None,0.01,16,0.6359863326586321,0.6186564262103831,0.6154810311056726,0.638
hateval_es,1024,normal_initialization,vectorizar_countvectorizer,"(1, 1)",None,0.5,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,256,normal_initialization,vectorizar_countvectorizer,"(1, 2)",None,0.01,64,0.6672621337877206,0.647919502236049,0.6466520813673506,0.666
hateval_es,256,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.5,32,0.222,0.5,0.3074792243767313,0.444
hateval_es,1024,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.1,32,0.222,0.5,0.3074792243767313,0.444
hateval_es,64,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.01,32,0.7652908189880021,0.7636917493032601,0.7643770617007102,0.768
hateval_es,1024,xavier_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.5,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,256,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.5,16,0.7549494949494949,0.7556063257502107,0.7552499888749995,0.758
hateval_es,512,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",None,0.01,64,0.7737418831168832,0.7622982694925141,0.7650492160063314,0.772
hateval_es,256,normal_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.1,64,0.6260374869455285,0.6114621816060666,0.6085666769638316,0.63
hateval_es,512,normal_initialization,vectorizar_tfidfvectorizer,"(2, 2)",None,0.5,32,0.222,0.5,0.3074792243767313,0.444
hateval_es,1024,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,64,0.222,0.5,0.3074792243767313,0.444
hateval_es,256,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.1,32,0.7407802795031055,0.7412016332879643,0.7409787764484952,0.744
hateval_es,128,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.01,32,0.6797078768909754,0.678624667833301,0.6790653081785534,0.684
hateval_es,64,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.01,64,0.6762483043731025,0.6768423099358352,0.6765010351966874,0.68
